,Job Name,company_name,location,Job Post,Salary
141,Associate JavaScript Developer,ASMACS Skill Development Limited,Mumbai,1 week ago,"₹ 2,40,000                                        

                                        ₹ 2,40,000 /year"
142,Associate - Sales,Media.net,Mumbai,1 week ago,"₹ 4,00,000 - 6,00,000                                        

                                        ₹ 4,00,000 - 6,00,000 /year"
143,Data Entry Associate,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
144,Corporate Sales Associate,QuickSort Solutions,Bangalore,1 week ago,"₹ 2,00,000 - 4,00,000                                        

                                        ₹ 2,00,000 - 4,00,000 /year"
145,Junior Software Developer,ASMACS Skill Development Limited,Mumbai,3 days ago,"₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
146,English Tutor-WFH,PlanetSpark,Work from home,2 days ago,"₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
147,Business Development Associate,Bizknowmics,Chennai,3 weeks ago,"₹ 2,40,000 - 3,60,000                                        

                                        ₹ 2,40,000 - 3,60,000 /year"
148,Telecaller,Dare2Gear,Noida,3 weeks ago,"₹ 2,40,000 - 3,50,000                                        

                                        ₹ 2,40,000 - 3,50,000 /year"
149,Corporate Sales Executive,Jatin Glass Company,Chandigarh,2 weeks ago,"₹ 2,00,000 - 2,25,000                                        

                                        ₹ 2,00,000 - 2,25,000 /year"
150,Junior Interior Designer,G2Design Interior,Pune,3 weeks ago,"₹ 2,40,000 - 2,80,000                                        

                                        ₹ 2,40,000 - 2,80,000 /year"
151,Academic Associate - Finance,Midha Education Private Limited,Ranchi,1 week ago,"₹ 4,00,000                                        

                                        ₹ 4,00,000 /year"
152,Behavioural Therapist,Leap Skills,Pune,7 days ago,"₹ 2,00,000                                        

                                        ₹ 2,00,000 /year"
153,Operations Manager (Procurement),BioFics Private Limited,Surat,"6 days ago


Be an early applicant","₹ 2,16,000 - 2,50,000                                        

                                        ₹ 2,16,000 - 2,50,000 /year"
154,Junior Travel & Tourism Executive,Bulls Travelism Private Limited,Delhi,3 days ago,"₹ 2,00,000 - 4,00,000                                        

                                        ₹ 2,00,000 - 4,00,000 /year"
155,SEO Executive,Hiigher®,Indore,"2 days ago


Be an early applicant","₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
156,Field Sales Executive,QuickSort Solutions,Pune,2 weeks ago,"₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
157,Online English Faculty,PlanetSpark,Lucknow,"3 weeks ago


Be an early applicant","₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
158,Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,3 weeks ago,"₹ 2,00,000 - 2,40,000                                        

                                        ₹ 2,00,000 - 2,40,000 /year"
159,Executive - Content Operations (Contractual),Saregama India Limited,Mumbai,3 weeks ago,"₹ 3,00,000 - 4,00,000                                        

                                        ₹ 3,00,000 - 4,00,000 /year"
160,Trainee Engineer_Civil (only Freshers),NoBroker Technologies Solutions Private Limited,Bangalore,3 weeks ago,"₹ 4,80,000                                        

                                        ₹ 4,80,000 /year"
161,Junior Mechanical Engineer,ASMACS Skill Development Limited,Mumbai,3 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
162,Video Editor,ASMACS Skill Development Limited,Mumbai,3 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
163,Junior Recruitment Executive,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
164,Junior Recruiter,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
